patientSurname,patientName,patientSecondSurname,patientDateOfBirthday,patientAddress,patientProfession,patientSex
620,Дроздова,Авксентий,Вячеславовна,2003-09-29,"к. Ялуторовск, пер. Воровского, д. 228, 440637",Штурман,М
621,Панова,Игорь,Рудольфовна,1992-07-12,"ст. Оренбург, ш. Советской Армии, д. 1/3 к. 7, 386",Лоцман,Ж
622,Анисимов,Гурий,Тихонович,1967-06-30,"к. Кондопога, наб. Мира, д. 1/4 стр. 3/9, 424423",Сварщик,Ж
623,Филиппов,Фадей,Дорофеевич,2006-04-24,"с. Партизанск, пр. Поселковый, д. 727 к. 4, 408090",Астроном,М
624,Тимофеев,Демид,Филипповна,1976-05-28,"д. Кандалакша, алл. Линейная, д. 41 к. 123, 368097",Администратор базы данных,М
625,Казакова,Марина,Анисимович,2003-07-25,"п. Черкесск, алл. Машиностроителей, д. 2/7, 689117",Футуролог,Ж
626,Зыкова,Сигизмунд,Филимонович,2004-12-28,"п. Долинск, ул. Путевая, д. 241, 023618",Фтизиатр,М
627,Ершова,София,Артурович,1926-01-31,"ст. Тихвин, ш. Украинское, д. 4/9 стр. 5, 063354",Капитан судна,Ж
628,Новиков,Назар,Трофимович,1970-08-03,"г. Клин, наб. Труда, д. 6 к. 219, 877969",Военный юрист,М
629,Фомичев,Исидор,Владимировна,1988-09-02,"клх Семлячики, наб. Энергетическая, д. 827 к. 3/9,",Продавец,Ж
630,Королева,Всеслав,Натановна,1924-01-30,"клх Кандалакша, алл. Красная, д. 3 стр. 66, 021025",Сурдолог,Ж
631,Козлова,Григорий,Гурьевич,1968-10-02,"клх Вилюйск, пр. Школьный, д. 791 к. 900, 398181",Инженер-энергетик,Ж
632,Афанасьева,Валентина,Харитоновна,2018-05-16,"п. Яшалта, пер. Пионерский, д. 3 к. 38, 766641",Социолог,Ж
633,Нестерова,Ростислав,Артемовна,1931-06-06,"с. Кемерово, ш. Заречное, д. 888, 370241",Логопед,Ж
634,Игнатов,Андрон,Аверьянович,1946-07-21,"к. Нефтегорск (Самар.), пер. Пархоменко, д. 311 ст",Кровельщик,Ж
635,Абрамов,Антонина,Петровна,2001-01-10,"с. Красноуральск, алл. Восточная, д. 63, 558574",Трейдер,М
636,Рогова,Фирс,Аскольдовна,1989-11-05,"клх Неплюевка, бул. М.Горького, д. 3 к. 61, 590398",Экспедитор на дальних поездках,Ж
637,Зайцев,Мина,Димитриевич,1933-08-28,"д. Хабаровск, ш. Краснопартизанское, д. 6 к. 63, 1",Драпировщик,М
638,Смирнов,Нина,Артурович,1967-02-04,"к. Кашира, ул. Лунная, д. 74, 132591",Строитель,Ж
639,Беляков,Валерия,Тимофеевна,2015-06-29,"г. Оса, пер. Ленский, д. 26 стр. 450, 084694",Воспитатель,М
640,Артемьев,Терентий,Трофимович,1966-08-31,"д. Моздок, пер. Грибоедова, д. 4 к. 7, 194986",Музыкант,Ж
641,Исаев,Селиверст,Антипович,1949-03-20,"с. Калязин, пр. Заводской, д. 23, 755172",Машинист локомотива,М
642,Щукина,Пахом,Владленович,1963-05-05,"д. Кропоткин (Краснод.), ул. Ягодная, д. 45, 69841",Финансист,Ж
643,Захаров,Михей,Болеславовна,2019-01-17,"г. Тула, бул. Мельничный, д. 8, 536318",Тестировщик,М
644,Белякова,Евдоким,Ерофеевич,2021-01-29,"п. Кандалакша, бул. Тракторный, д. 20 к. 798, 1003",Кавалерист,Ж
645,Рябов,Юлий,Яковлевич,1942-12-06,"с. Ростов, алл. 70 лет Октября, д. 442 стр. 9, 372",Табунщик,Ж
646,Князева,Мартьян,Богдановна,2000-04-22,"клх Старый Оскол, ш. Трактовое, д. 5 стр. 552, 647",Эпидемиолог,М
647,Дьячкова,Владлен,Адамович,1959-10-12,"клх Мезень, пр. Цветочный, д. 351 к. 5/7, 354543",Ортодонт,Ж
648,Овчинникова,Севастьян,Евстигнеевич,1976-04-07,"д. Сарапул, ул. Рабочая, д. 402 стр. 50, 453096",Архитектор,Ж
649,Жуков,Василиса,Григорьевич,1939-08-09,"д. Шенкурск, наб. Сплавная, д. 424 стр. 19, 282611",Воспитатель,М
650,Егоров,Иван,Егоровна,1986-10-09,"с. Корсаков, пр. Центральный, д. 7, 100942",Сурдопедагог,М
651,Александрова,Елисей,Георгиевич,1981-10-12,"к. Чусовой, алл. Кедровая, д. 6, 770161",Кровельщик,Ж
652,Афанасьев,Аверкий,Артёмович,1983-08-31,"клх Завьялиха, пр. 70 лет Октября, д. 96 стр. 58, ",Сварщик,Ж
653,Дмитриев,Ярополк,Иосифович,1973-03-05,"с. Лесной (Сверд.), ул. Зеленая, д. 10 к. 9/1, 047",Стоматолог,Ж
654,Бирюков,Мечислав,Афанасьевич,2003-03-26,"д. Самара, ш. Новое, д. 3/5 стр. 6/6, 993458",Танкист,М
655,Щукин,Леонтий,Руслановна,1929-03-22,"ст. Нарткала, ул. Мирная, д. 256 к. 3, 287446",Диктор,Ж
656,Потапова,Арефий,Григорьевна,1973-08-17,"к. Петрозаводск, алл. Инженерная, д. 287 стр. 80, ",Переводчик,М
657,Абрамов,Илья,Антоновна,1936-03-16,"с. Яшалта, наб. Привокзальная, д. 708 стр. 1/4, 12",Генетик,М
658,Гурьев,Игнатий,Вадимовна,1940-02-06,"клх Павловский Посад, пр. Вольный, д. 338, 666917",Торакальный хирург,М
659,Семенов,Руслан,Филиппович,1993-08-24,"д. Салехард, алл. Енисейская, д. 37, 142033",Морской пехотинец,Ж
660,Трофимов,Фома,Робертовна,1961-08-14,"к. Сосногорск, ш. Российское, д. 73 к. 5/3, 825350",Специалист по клеточным технол,Ж
661,Брагин,Фома,Иосифович,1991-03-17,"ст. Нижний Новгород, ш. Розы Люксембург, д. 26 к. ",Оператор машинного доения,М
662,Кузнецов,Ананий,Андреевич,1991-04-27,"ст. Ясный (Оренб.), ул. Ильича, д. 52 стр. 16, 860",Редактор,М
663,Медведева,Варфоломей,Алексеевна,2001-05-26,"ст. Каменномостский, алл. Депутатская, д. 678 к. 5",Официант,М
664,Исаков,Филимон,Филатович,1936-03-09,"г. Томари, ш. Журавлева, д. 84, 775285",Штурман,М
665,Колесников,Трофим,Вениаминовна,2006-02-17,"ст. Объячево, наб. Калинина, д. 5 к. 874, 721543",Хлопокороб,М
666,Суханова,Валерия,Абрамович,1947-09-25,"п. Кизилюрт, ул. Карла Либкнехта, д. 4/3 к. 4, 098",Горнострелок,М
667,Шубин,Стоян,Ермилович,1947-12-25,"с. Плесецк, бул. 60 лет Октября, д. 3/5 к. 652, 89",Врач скорой помощи,Ж
668,Горбунова,Мстислав,Чеславович,1966-03-27,"ст. Балашиха, наб. Инженерная, д. 8, 195733",Слесарь,Ж
669,Рябов,Лукия,Алексеевич,1986-05-18,"клх Енисейск, пер. Тульский, д. 279, 188737",Разведчик,М
670,Чернов,Дмитрий,Ааронович,1982-10-26,"д. Сладково, ш. Поселковое, д. 7/3, 793833",Мастер маникюра,М
671,Назаров,Евстафий,Евгеньевна,1993-02-03,"с. Куртамыш, алл. Садовая, д. 54, 926829",Горняк,Ж
672,Шарапова,Степан,Богдановна,1956-11-17,"ст. Троицк (Челяб.), ш. Максима Горького, д. 3/8 с",Проходчик,Ж
673,Шилова,Агафон,Феоктистович,1971-07-28,"с. Азов (Рост.), бул. Разина, д. 7 к. 1, 425950",Пульмонолог,Ж
674,Филиппов,Леон,Даниловна,2017-12-19,"клх Шали, наб. Крымская, д. 508, 822215",Кондитер,М
675,Юдина,Эммануил,Борисович,1937-12-21,"п. Яр-Сале, ул. Нефтяников, д. 3, 113625",Контент-менеджер,М
676,Власова,Илья,Антипович,1980-02-06,"клх Старый Оскол, пер. 60 лет СССР, д. 39 к. 4/8, ",Автослесарь,Ж
677,Владимиров,Матвей,Тимуровна,1982-06-07,"ст. Курск, пер. Мира, д. 4/6, 567419",Визажист,М
678,Большакова,Евсей,Никифоровна,2021-05-07,"клх Шелехов, ш. Мая 1, д. 82 к. 279, 768068",Эколог,Ж
679,Шилов,Кира,Давидович,1970-11-13,"к. Озеры, бул. Союзный, д. 13 стр. 5, 041376",Лекальщик,М
680,Тихонов,Гурий,Ерофеевич,1961-03-30,"г. Серебряные Пруды, ул. Некрасова, д. 825 к. 632,",Инженер-гидравлик,Ж
681,Волков,Архип,Устинович,1971-10-09,"к. Краснокамск, ш. Красноармейское, д. 4/5, 537675",Грейдерист,М
682,Орлова,Олег,Леоновна,2015-03-20,"ст. Аша, ш. Алтайское, д. 773 стр. 11, 785127",Дипломатический работник,Ж
683,Прохоров,Наркис,Анисимович,1972-04-13,"д. Асбест, ул. Огородная, д. 239 к. 63, 478643",Инженер-строитель,Ж
684,Меркушев,Феоктист,Игоревна,1968-08-11,"клх Белогорск (Амур.), наб. Орджоникидзе, д. 7 стр",Модель,Ж
685,Дементьев,Василиса,Артурович,1971-10-21,"д. Белокуриха, алл. Карла Маркса, д. 162 к. 24, 89",Учитель,М
686,Блохин,Станимир,Кузьминична,2007-07-24,"п. Сасово, пер. Некрасова, д. 9 к. 1/7, 429345",Оператор вооружения,М
687,Голубева,Геннадий,Аскольдовна,1935-04-01,"г. Адыгейск, пер. Олега Кошевого, д. 8/7 стр. 8, 9",Расточник,Ж
688,Куликов,Никон,Феоктистович,1954-06-23,"клх Аргаяш, наб. Прибрежная, д. 838 стр. 3, 955483",Геодезист,М
689,Белоусова,Аполлон,Андреевич,1975-02-14,"д. Новороссийка, бул. Слободской, д. 25 стр. 135, ",Канонир,М
690,Шестакова,Константин,Власович,1943-08-06,"с. Ачинск, ул. Малая, д. 2 к. 60, 986235",Инженер-лаборант,Ж
691,Тарасов,Лукьян,Евсеевич,1953-02-10,"с. Ханты-Мансийск, бул. Крылова, д. 190, 052183",Холодильщик,М
692,Воронов,Аполлинарий,Гертрудович,1960-02-15,"ст. Сургут (Хант.), пр. Набережный, д. 134, 124671",Сексолог,Ж
693,Цветков,Екатерина,Ефимович,1978-01-28,"г. Таганрог, бул. Розы Люксембург, д. 507 стр. 11,",Администратор базы данных,Ж
694,Белозерова,Пимен,Тарасович,1976-01-18,"с. Красная Поляна, пр. Ставропольский, д. 7/5 к. 7",Гитарист,Ж
695,Дмитриев,Панкратий,Олеговна,1989-09-06,"с. Валдай, пер. Приморский, д. 524 к. 32, 480932",Маммолог,М
696,Соловьева,Емельян,Валерьянович,1968-07-29,"клх Алапаевск, наб. Павлова, д. 99, 469304",Финансист,М
697,Григорьева,Милий,Артемовна,1978-08-01,"п. Иркутск, бул. Черемуховый, д. 6/9 стр. 74, 9239",Кабельщик,М
698,Ермакова,Иосиф,Дмитриевна,1978-01-01,"д. Тосно, наб. Механизаторов, д. 38 стр. 654, 6181",Энтомолог,Ж
699,Михеев,Никодим,Ефремович,1932-11-01,"г. Жуковский, наб. Коммунистическая, д. 6, 123185",Дирижёр,М
700,Якушев,Силантий,Афанасьевич,1956-12-19,"клх Моршанск, бул. Максима Горького, д. 694, 79499",Ректор,Ж
701,Буров,Ипполит,Болеславовна,1934-09-15,"г. Гагарин, пр. Уральский, д. 8 к. 30, 743290",Банкир,М
702,Казакова,Зоя,Демидович,1991-01-25,"г. Челябинск, пр. Аэродромный, д. 233 стр. 9, 9581",Диспетчер,М
703,Антонов,Сила,Артемьевич,1998-05-09,"г. Шуя, ш. Жданова, д. 7/1 стр. 312, 536593",Библиотековед,Ж
704,Крюков,Милован,Болеславовна,1974-01-23,"клх Кырен, пер. Отрадный, д. 488, 507261",Бортпроводник/стюард,М
705,Шилова,Модест,Ефимьевич,2012-07-03,"с. Балашов, ш. Курортное, д. 1, 369077",Пульмонолог,Ж
706,Пахомова,Яков,Матвеевич,2019-06-25,"д. Сунтар, бул. Шевченко, д. 4/7 к. 714, 443781",Оператор ПК,Ж
707,Лаврентьев,Тихон,Кузьминична,1980-05-24,"с. Кирово-Чепецк, ул. Поперечная, д. 22, 630696",Слесарь,Ж
708,Меркушева,Прокофий,Рудольфовна,1953-08-27,"п. Архангельск, бул. Калужский, д. 15 к. 1, 436547",Проректор,М
709,Брагин,Каллистрат,Иосифович,2017-04-30,"ст. Камышин, ш. Боровое, д. 627 стр. 7, 686498",Гепатолог,М
710,Муравьева,Самуил,Владиславович,1956-07-02,"клх Томари, бул. Тенистый, д. 528, 824966",Териолог,Ж
711,Гуляев,Доброслав,Денисович,1953-11-03,"с. Махачкала, ш. Комарова, д. 68, 190876",Распиловщик,Ж
712,Зимин,Евгения,Феофанович,1975-08-06,"ст. Новый Оскол, наб. Специалистов, д. 641, 081750",Химик-технолог,Ж
713,Шилов,Епифан,Степановна,1994-09-28,"п. Элиста, ул. Олимпийская, д. 462, 780354",Бондарь,М
714,Гаврилова,Радован,Александровна,2014-08-29,"д. Уфа, пер. Камский, д. 2 к. 3, 369133",Начальник штаба,М
715,Рябов,Автоном,Ивановна,1961-01-08,"клх Нефедова, ул. Западная, д. 370 стр. 302, 64512",Кинооператор,М
716,Наумов,Сила,Вилорович,1956-10-30,"д. Асбест, алл. Серова, д. 54 к. 813, 958024",Веб-интегратор,Ж
717,Киселева,Якуб,Тимофеевна,1938-08-02,"г. Тайшет, пер. Красногвардейский, д. 54, 815830",Иммунолог,М
718,Цветков,Филимон,Наумовна,1969-03-20,"п. Анива, наб. Дружба, д. 63 к. 108, 187412",Няня,М
719,Веселова,Радислав,Афанасьевна,1942-09-25,"д. Яшалта, ш. Строительное, д. 102, 539758",Воздухоплаватель,Ж
720,Колесникова,Лука,Геннадиевна,1957-02-26,"д. Красноуральск, наб. Речная, д. 693 к. 887, 5114",Профпатолог,М
721,Лихачева,Ксения,Захарьевич,1962-08-26,"д. Гаврилов-Ям, наб. Комсомольская, д. 9/4 стр. 32",Воспитатель,М
722,Жуков,Никодим,Демьянович,1944-05-13,"ст. Ряжск, пер. Черняховского, д. 17 к. 41, 792968",Донкерман,Ж
723,Веселов,Самсон,Георгиевна,1988-03-19,"с. Сасово, ул. Короленко, д. 324, 257859",Инженер-гидравлик,М
724,Иванов,Максимильян,Кузьминична,1939-10-30,"клх Щелково, ш. Прохладное, д. 6/4 стр. 862, 63445",Водитель,М
725,Дьячкова,Модест,Гавриилович,1984-04-18,"п. Сосногорск, пр. Высоковольтный, д. 627, 465847",Правовед,Ж
726,Лапина,Аким,Егоровна,1978-05-15,"к. Углич, наб. Байкальская, д. 31 к. 1/5, 112182",Прозектор,М
727,Ларионова,Эраст,Изотович,1961-01-02,"п. Новгород Великий, пр. Брянский, д. 180, 694798",Декоратор,Ж
728,Селиверстова,Фока,Архиповна,1954-09-19,"г. Дудинка, алл. Кленовая, д. 8 к. 4/8, 125260",Кинооператор,Ж
729,Тимофеева,Иларион,Иосипович,1924-09-26,"г. Сусуман, ш. Марта 8, д. 1/7, 486333",Каскадёр,М
730,Евсеев,Акулина,Оскаровна,1938-06-29,"п. Сеймчан, ул. Украинская, д. 97, 262166",Священнослужитель,Ж
731,Белозеров,Марина,Кузьминична,1926-07-29,"ст. Самара, пр. Морской, д. 922 стр. 222, 108001",Хореограф,Ж
732,Герасимова,Евгения,Альбертовна,1981-08-18,"г. Щельяюр, наб. Николаева, д. 9 стр. 88, 851131",Декоратор,Ж
733,Бурова,Николай,Матвеевич,2008-07-15,"с. Челябинск, ул. Восточная, д. 579 стр. 89, 74278",Растениевод,Ж
734,Горбунов,Ипполит,Якубович,1977-02-01,"к. Бомнак, ул. Камская, д. 8/1 к. 964, 447744",Трейдер,Ж
735,Меркушев,Марфа,Владленович,2017-03-01,"к. Бавлы, наб. Детская, д. 6, 451548",Продюсер,Ж
736,Молчанов,Ермил,Макаровна,1961-07-04,"ст. Стерлитамак, ш. Хвойное, д. 38 стр. 5/7, 67003",Телефонист,М
737,Брагина,Алла,Евгеньевна,1924-03-10,"д. Шуя, пер. Заливный, д. 4, 726685",Архивариус,Ж
738,Суханова,Ипполит,Евстигнеевич,1990-07-09,"к. Гатчина, ул. Монтажников, д. 3/2, 325033",Торакальный хирург,М
739,Гурьева,Ефрем,Борисовна,1937-11-25,"клх Куртамыш, пер. Специалистов, д. 626 стр. 62, 8",Автогонщик,М
740,Лукина,Афиноген,Бенедиктович,1990-07-23,"клх Усть-Баргузин, алл. Московская, д. 26 к. 5, 23",Десантник,Ж
741,Григорьева,Аполлинарий,Жанович,1960-12-20,"ст. Томпа, наб. Лазурная, д. 1/5 к. 7, 109650",Комбайнер,Ж
742,Белоусов,Прохор,Венедиктович,2015-09-29,"к. Тырныауз, наб. Тихая, д. 122 стр. 70, 834444",Учитель,Ж
743,Гущина,Алексей,Сергеевна,1950-09-13,"ст. Кузнецк, ш. Парковое, д. 5/1, 155556",Конвоир,Ж
744,Дроздова,Виктория,Игнатович,1937-06-14,"с. Карабулак, алл. Строительная, д. 817 стр. 7/5, ",Горнострелок,Ж
745,Шилова,Феврония,Демидович,1960-04-19,"ст. Яр-Сале, ул. Кольцова, д. 360, 436805",Няня,М
746,Колобов,Сергей,Кузьминична,1930-07-07,"д. Мураши, алл. Коммунистическая, д. 9, 914395",Дипломатический работник,М
747,Дроздов,Пелагея,Робертовна,1931-06-12,"ст. Оленегорск (Якут.), пр. Восьмого Марта, д. 615",Портье,М
748,Костина,Екатерина,Абрамович,1930-02-04,"к. Юрьевец (Иван.), ш. Папанина, д. 9 стр. 9/5, 34",Оператор ПК,М
749,Беспалов,Иванна,Тимофеевна,1938-11-02,"к. Батайск, алл. Стахановская, д. 942 к. 4/9, 4301",Продюсер,М
750,Гурьева,Андрон,Давидович,1984-12-22,"ст. Углегорск, наб. Розы Люксембург, д. 9 стр. 13,",Хлопокороб,Ж
751,Мартынова,Маргарита,Романовна,1968-12-10,"г. Егорьевск, алл. Коммунальная, д. 4/1 к. 4, 2457",Кромкозакатчик,Ж
752,Кулагин,Спартак,Ефимович,1945-02-09,"с. Онега, наб. 50 лет ВЛКСМ, д. 9 стр. 5/2, 012323",Авиатехник,М
753,Орлов,Геннадий,Трифонович,2012-12-04,"п. Партизанск, ул. Новая, д. 10, 489753",Агроном,М
754,Пономарев,Ия,Харлампьевич,1989-05-05,"ст. Льгов, пр. Дарвина, д. 373 к. 8/2, 719162",Эндоскопист,Ж
755,Третьяков,София,Евсеевич,2001-07-17,"п. Шадринск, пр. Линейный, д. 2/6 стр. 2, 399098",Ихтиолог,М
756,Королев,Святослав,Трифонович,1980-09-04,"п. Енисейск, ул. Уральская, д. 82 к. 1/3, 610145",Инкассатор,М
757,Ковалев,Игнатий,Виленович,1964-12-20,"п. Лянтор, алл. Дружба, д. 7 к. 71, 861522",Нефролог,М
758,Мартынова,Моисей,Гаврилович,1983-03-19,"д. Тикси, ш. Калинина, д. 7/3 к. 5, 470311",Эксперт-криминалист,Ж
759,Прохоров,Трофим,Александрович,1993-12-29,"п. Пушкинские Горы, наб. Украинская, д. 8 к. 2/2, ",Химик-контролер,Ж
760,Громова,Тамара,Геннадьевна,1959-01-14,"ст. Кропоткин (Краснод.), пр. Трактовый, д. 9/2, 8",Борт-радист,Ж
761,Щукин,Алексей,Григорьевна,1959-06-27,"п. Кизел, ш. Кирпичное, д. 8/7 к. 4, 596033",Капитан судна,М
762,Андреева,Анжела,Харитонович,1986-10-25,"г. Мыс Шмидта, пр. Малиновый, д. 3, 539970",Парикмахер,Ж
763,Князев,Евграф,Макаровна,1941-08-12,"п. Королев, пер. Крупской, д. 198 стр. 990, 895584",Стрелочник,М
764,Титова,Вадим,Теймуразович,1965-05-29,"п. Колпашево, пер. Цветочный, д. 583, 398799",Критик,М
765,Андреев,Моисей,Викторович,1949-11-11,"к. Майкоп, пер. Васильковый, д. 743 к. 801, 720661",Политолог,М
766,Мамонтов,Аникей,Филатович,2020-12-28,"с. Энгельс, пер. Коммунальный, д. 8/6, 557308",Судья,Ж
767,Колесников,Наина,Анисимович,1999-03-11,"с. Усть-Ордынский, пер. Морозова, д. 40 стр. 5, 20",Кардиохирург,Ж
768,Прохорова,Аверкий,Вячеславовна,1978-04-17,"клх Яр-Сале, пр. Механический, д. 7/8, 184432",Донкерман,Ж
769,Жукова,Лора,Игнатьевич,1957-01-31,"ст. Снежногорск (Мурм.), алл. Прохладная, д. 645 с",Визажист,М
770,Орлова,Дарья,Трифонович,2011-08-31,"п. Щелково, бул. Никитина, д. 116, 515508",Нотариус,М
771,Борисов,Филарет,Демьянович,1930-03-11,"к. Устюжна, бул. Леваневского, д. 2/3, 862748",Гляциолог,Ж
772,Карпова,Владилен,Артемовна,1927-07-28,"к. Красноуральск, алл. Вольная, д. 9/4 стр. 6, 898",Системный администратор,М
773,Мельникова,Герасим,Матвеевна,1945-03-25,"г. Луга, наб. Кузнецкая, д. 7 стр. 1/2, 351719",Иконописец,М
774,Николаев,Селиван,Владленович,1934-09-21,"п. Сортавала, ш. Правды, д. 61, 653108",Экспедитор на дальних поездках,Ж
775,Соколова,Серафим,Федотович,1988-10-31,"ст. Бугульма, алл. Маркса Карла, д. 7, 063701",Кромкозакатчик,М
776,Панов,Андрон,Тимурович,2002-10-17,"г. Тура, ш. Кутузова, д. 2 стр. 6, 611084",Бондарь,М
777,Беляков,Лаврентий,Фёдорович,1978-04-18,"п. Данков, ш. Циолковского, д. 253 стр. 271, 80858",Массажист,Ж
778,Беляева,Феврония,Ефремович,1949-09-11,"ст. Приозерск, алл. Нагорная, д. 6/4, 341721",Ихтиолог,М
779,Попова,Конон,Ефстафьевич,2003-10-17,"д. Оймякон, ш. О.Кошевого, д. 30 стр. 11, 178749",Бухгалтер,Ж
780,Герасимова,Прасковья,Руслановна,1969-03-21,"к. Сальск, пер. Ярославский, д. 5 к. 13, 555323",Инженер-лесотехник,Ж
781,Бирюкова,Каллистрат,Вадимовна,1969-09-30,"п. Серов, ш. Юбилейное, д. 536, 866770",Медник,Ж
782,Меркушева,Милица,Антоновна,2002-07-07,"п. Кизел, ул. Красных Партизан, д. 2, 698617",Нейрохирург,Ж
783,Ефимова,Михаил,Вячеславовна,2000-07-28,"с. Середниково, ш. 50 лет Победы, д. 523 к. 7, 648",Заточник,М
784,Сидоров,Казимир,Геннадьевна,1935-08-08,"с. Балтийск, ул. Красина, д. 723 к. 99, 523631",Хлопокороб,Ж
785,Архипова,Михей,Евстигнеевич,1963-11-30,"д. Кировск (Ленин.), наб. Буденного, д. 6, 779547",Доула,Ж
786,Симонов,Марфа,Фокич,1946-06-17,"д. Камышлов, бул. Мая 1, д. 296, 278891",Страховой агент,Ж
787,Тетерина,Вадим,Харитонович,1996-03-27,"ст. Приморско-Ахтарск, ул. Леонова, д. 5/9 стр. 71",Квасник,М
788,Сергеева,Борис,Гордеевич,2023-07-15,"клх Бомнак, пр. Новый, д. 23 к. 149, 550106",Таможенник,М
789,Голубева,Прокл,Григорьевич,1997-08-07,"п. Юрьев-Польский, пер. Интернациональный, д. 331 ",Бармен,Ж
790,Куликов,Лев,Геннадиевна,1959-02-18,"к. Кизел, пр. Учительский, д. 68 к. 2, 167546",Организатор свадеб,М
791,Мартынова,Олег,Владиславович,1946-12-27,"к. Усмань, алл. 9 мая, д. 29, 508802",Иллюстратор,Ж
792,Носова,Дарья,Геннадиевич,1982-10-13,"к. Яшалта, ш. Стахановское, д. 5, 492689",Токарь,М
793,Титов,Лонгин,Матвеевич,1966-11-12,"ст. Верхний Баскунчак, пер. Красина, д. 643 к. 6, ",Бактериолог,М
794,Романова,Савелий,Дмитриевич,1940-07-27,"клх Бавлы, пр. Родниковый, д. 993, 185497",Травматолог,М
795,Панфилов,Наина,Валентиновна,1928-08-10,"с. Королев, ул. Автомобилистов, д. 8 стр. 149, 340",Гренадер,Ж
796,Исаев,Стоян,Евгеньевна,1995-07-28,"д. Асино, алл. Новая, д. 59 стр. 7/2, 510173",Военно-полевой хирург,М
797,Федоров,Мефодий,Тарасовна,1955-05-12,"ст. Кулу, ул. Халтурина, д. 2/6 к. 1/4, 143742",Радист,М
798,Кошелева,Аристарх,Федосьевич,2014-08-06,"д. Долинск, ул. Кольцевая, д. 5/4, 506892",Начальник склада,М
799,Устинов,Нонна,Ермилович,1964-08-26,"п. Мелеуз, ш. Ульяновское, д. 64 к. 69, 871946",Сталевар,Ж
800,Петрова,Спиридон,Бориславович,2019-10-23,"с. Тамбей, алл. Химиков, д. 8 стр. 5/2, 844115",Зоотехник,М
801,Одинцова,Надежда,Ильич,2019-08-19,"п. Чикола, ш. Ильича, д. 286, 805810",Водолаз,М
802,Харитонова,Иларион,Владленович,1971-03-24,"д. Череповец, алл. Прибрежная, д. 5 к. 6/4, 858343",Экспедитор,Ж
803,Иванов,Автоном,Викторович,1996-06-15,"г. Аргаяш, пер. Кочубея, д. 6/9, 799919",Бактериолог,М
804,Романова,Трофим,Максимовна,1930-12-23,"г. Оленегорск (Якут.), ш. Тихое, д. 79 стр. 20, 32",Технолог,Ж
805,Кононова,Людмила,Чеславович,2004-01-28,"г. Токсово, пр. Астраханский, д. 68, 617912",Крановщик,М
806,Степанов,Глеб,Эдгардович,1988-11-03,"п. Усть-Кулом, ул. Базарная, д. 20 стр. 910, 19265",Экспедитор на дальних поездках,Ж
807,Громов,Корнил,Харламович,1939-01-19,"клх Видное, бул. Дальневосточный, д. 971 стр. 530,",Борт-инженер,М
808,Прохорова,Самуил,Феодосьевич,1955-06-30,"п. Ачхой Мартан, алл. Трудовая, д. 39 к. 72, 09700",Танцор,М
809,Кошелев,Наталья,Фролович,1936-11-28,"с. Гаврилов-Ям, алл. Высоцкого, д. 750 к. 409, 814",Водолаз,Ж
810,Алексеева,Марина,Феофанович,1927-03-01,"ст. Анапа, ш. Енисейское, д. 10 стр. 3/9, 577077",Конвоир,М
811,Субботина,Бронислав,Венедиктович,1942-05-03,"д. Новый Уренгой, бул. Ивановский, д. 29 к. 79, 83",Кардиохирург,М
812,Семенова,Трофим,Филимонович,1936-11-02,"с. Красновишерск, наб. Черемуховая, д. 2, 912265",Гренадер,Ж
813,Копылова,Агафон,Бенедиктович,1993-05-15,"г. Славянск-на-Кубани, ул. Прудная, д. 5 стр. 8, 3",Прозектор,Ж
814,Ларионов,Оксана,Яковлевич,1980-03-22,"с. Яшкуль, бул. Промышленный, д. 245 стр. 4/5, 183",Пекарь,Ж
815,Беляков,Сила,Богданович,1972-08-26,"ст. Рыльск, ш. Производственное, д. 265, 114577",Секретчик,Ж
816,Захарова,Владислав,Эдгарович,1991-03-28,"п. Черняховск, наб. Пархоменко, д. 98 к. 457, 0952",Музыкант,Ж
817,Нестеров,Людмила,Игоревич,1956-09-08,"г. Арсеньев, ул. Трудовая, д. 106, 086493",Сексолог,М
818,Колобов,Селиван,Феоктистович,1937-04-26,"к. Тосно, пер. Матросова, д. 41 стр. 43, 222188",Лекальщик,М
819,Горшков,Полина,Гурьевич,1931-08-09,"к. Жигулевск, алл. Калужская, д. 54, 281473",Заточник,М
820,Маркова,Анисим,Аксёнович,1984-08-02,"к. Сызрань, ш. Заливное, д. 6 к. 89, 339748",Кавалерист,Ж
821,Зимина,Ольга,Измаилович,1991-01-25,"с. Ухта, ул. Вишневая, д. 312 к. 6/8, 239611",Токсиколог,Ж
822,Буров,Милица,Витальевич,2008-04-02,"к. Билибино, наб. Большая, д. 3, 929077",Проктолог,Ж
823,Фадеева,Евгения,Иосифович,2022-07-18,"к. Кашхатау, пер. Пионерский, д. 2/7, 439994",Дипломат,Ж
824,Константинов,Раиса,Ильинична,2020-01-16,"д. Губкин, наб. Коминтерна, д. 625 к. 8, 886521",Гирудотерапевт,М
825,Евдокимов,Степан,Андреевна,1963-04-12,"к. Токма, ш. Фабричное, д. 7 стр. 3, 434728",Кодер,Ж
826,Журавлева,Радислав,Ильясович,1968-01-05,"г. Малоярославец, наб. Монтажников, д. 7, 119468",Автоэлектрик,Ж
827,Буров,Светозар,Эдгардович,1935-12-04,"ст. Агинское (Забайк.), ш. Балтийское, д. 6/2 к. 4",Особист,М
